book_id,title,author,category,isbn,publication_year,total_copies,available_copies
1,The Great Gatsby,F. Scott Fitzgerald,Fiction,978-0-7432-7356-5,1925,7,1
2,To Kill a Mockingbird,Harper Lee,Fiction,978-0-06-112008-4,1960,2,2
3,1984,George Orwell,Fiction,978-0-452-28423-4,1949,4,1
4,Pride and Prejudice,Jane Austen,Fiction,978-0-14-143951-8,1813,3,1
5,The Catcher in the Rye,J.D. Salinger,Fiction,978-0-316-76948-0,1951,7,1
6,Brave New World,Aldous Huxley,Fiction,978-0-06-085052-4,1932,7,1
7,The Alchemist,Paulo Coelho,Fiction,978-0-06-112241-5,1988,6,3
8,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fiction,978-0-439-70818-8,1997,2,0
9,The Lord of the Rings,J.R.R. Tolkien,Fiction,978-0-618-00222-5,1954,2,0
10,Animal Farm,George Orwell,Fiction,978-0-452-28424-1,1945,3,0
11,Sapiens,Yuval Noah Harari,Non-Fiction,978-0-06-231609-7,2011,6,1
12,Educated,Tara Westover,Non-Fiction,978-0-399-59050-4,2018,7,6
13,The Immortal Life of Henrietta Lacks,Rebecca Skloot,Non-Fiction,978-1-4000-5217-2,2010,3,3
14,Into the Wild,Jon Krakauer,Non-Fiction,978-0-385-48680-4,1996,6,2
15,Fast Food Nation,Eric Schlosser,Non-Fiction,978-0-618-13101-7,2001,8,0
16,The Devil in the White City,Erik Larson,Non-Fiction,978-0-375-72560-7,2003,8,2
17,Unbroken,Laura Hillenbrand,Non-Fiction,978-0-8129-7095-0,2010,7,6
18,The Glass Castle,Jeannette Walls,Non-Fiction,978-0-7432-7136-3,2005,4,2
19,Born a Crime,Trevor Noah,Non-Fiction,978-0-385-54132-6,2016,3,1
20,I Am Malala,Malala Yousafzai,Non-Fiction,978-0-316-32241-6,2013,8,5
21,A Brief History of Time,Stephen Hawking,Science,978-0-553-38016-3,1988,2,0
22,The Selfish Gene,Richard Dawkins,Science,978-0-19-929115-1,1976,5,0
23,Cosmos,Carl Sagan,Science,978-0-345-53943-4,1980,4,2
24,The Origin of Species,Charles Darwin,Science,978-0-14-043205-3,1859,6,2
25,The Double Helix,James Watson,Science,978-0-7432-1630-1,1968,8,0
26,Astrophysics for People in a Hurry,Neil deGrasse Tyson,Science,978-0-393-60939-4,2017,7,7
27,The Gene,Siddhartha Mukherjee,Science,978-1-4767-3350-8,2016,6,0
28,Seven Brief Lessons on Physics,Carlo Rovelli,Science,978-0-399-18441-3,2014,5,0
29,The Elegant Universe,Brian Greene,Science,978-0-393-33810-5,1999,6,2
30,"Thinking, Fast and Slow",Daniel Kahneman,Science,978-0-374-53355-7,2011,8,5
31,Clean Code,Robert C. Martin,Technology,978-0-13-235088-4,2008,6,1
32,The Pragmatic Programmer,David Thomas,Technology,978-0-13-595705-9,1999,7,1
33,Design Patterns,Gang of Four,Technology,978-0-201-63361-0,1994,2,2
34,Introduction to Algorithms,Thomas H. Cormen,Technology,978-0-262-03384-8,1990,3,2
35,The Mythical Man-Month,Frederick P. Brooks,Technology,978-0-201-83595-3,1975,2,0
36,Code Complete,Steve McConnell,Technology,978-0-7356-1967-8,2004,8,1
37,Artificial Intelligence: A Modern Approach,Stuart Russell,Technology,978-0-13-604259-4,1994,5,2
38,Deep Learning,Ian Goodfellow,Technology,978-0-262-03561-3,2016,5,5
39,Python Crash Course,Eric Matthes,Technology,978-1-59327-928-8,2015,8,5
40,The Innovators,Walter Isaacson,Technology,978-1-4767-0869-8,2014,3,2
41,"Guns, Germs, and Steel",Jared Diamond,History,978-0-393-31755-8,1997,4,1
42,The Rise and Fall of the Third Reich,William L. Shirer,History,978-0-671-72868-7,1960,7,4
43,Alexander the Great,Robin Lane Fox,History,978-0-14-303823-3,1973,7,1
