transaction_id,book_id,borrower_id,borrow_date,due_date,return_date,status,fine_amount
1,56,39,2025-06-07,2025-06-21,2025-06-21,returned,0.0
2,25,17,2024-02-15,2024-02-29,,overdue,406.0
3,1,34,2026-04-05,2026-04-19,2026-04-16,returned,0.0
4,26,24,2025-03-17,2025-03-31,2025-03-27,returned,0.0
5,43,40,2024-11-17,2024-12-01,,overdue,268.0
6,16,47,2024-11-03,2024-11-17,2024-11-13,returned,0.0
7,53,21,2025-02-16,2025-03-02,,overdue,222.5
8,17,13,2025-03-06,2025-03-20,,overdue,213.5
9,49,44,2026-02-05,2026-02-19,2026-03-11,returned,10.0
10,39,26,2025-07-15,2025-07-29,2025-08-08,returned,5.0
11,37,14,2025-03-16,2025-03-30,,overdue,208.5
12,42,30,2025-03-28,2025-04-11,2025-03-31,returned,0.0
13,66,31,2026-03-23,2026-04-06,2026-05-02,returned,13.0
14,22,43,2024-03-27,2024-04-10,2024-04-06,returned,0.0
15,43,6,2026-04-18,2026-05-02,,overdue,9.5
16,31,44,2024-11-13,2024-11-27,2024-11-16,returned,0.0
17,19,2,2024-02-17,2024-03-02,2024-02-24,returned,0.0
18,10,30,2025-02-28,2025-03-14,2025-04-02,returned,9.5
19,25,46,2025-12-14,2025-12-28,2025-12-20,returned,0.0
20,32,10,2025-11-02,2025-11-16,,overdue,93.0
21,14,50,2025-03-11,2025-03-25,2025-03-23,returned,0.0
22,67,30,2024-02-21,2024-03-06,2024-03-06,returned,0.0
23,16,30,2024-05-16,2024-05-30,2024-06-21,returned,11.0
24,68,36,2025-09-01,2025-09-15,2025-09-13,returned,0.0
25,57,40,2026-04-14,2026-04-28,,overdue,11.5
26,65,28,2026-04-30,2026-05-14,,overdue,3.5
27,21,48,2025-05-01,2025-05-15,2025-05-13,returned,0.0
28,32,54,2025-10-14,2025-10-28,2025-10-26,returned,0.0
29,67,32,2025-10-03,2025-10-17,2025-10-10,returned,0.0
30,10,46,2024-10-19,2024-11-02,2024-10-24,returned,0.0
31,41,58,2025-07-07,2025-07-21,2025-07-09,returned,0.0
32,30,25,2025-12-11,2025-12-25,2025-12-14,returned,0.0
33,9,27,2025-02-21,2025-03-07,2025-02-28,returned,0.0
34,54,4,2024-07-30,2024-08-13,2024-08-26,returned,6.5
35,3,55,2026-02-22,2026-03-08,2026-03-01,returned,0.0
